Invoice,Date,StockCode,CustomerID,Country,Quantity,Price,ReturnValue
C489583,2009-12-01,72802B,14621,United Kingdom,-2,4.25,8.5
C489583,2009-12-01,85047,14621,United Kingdom,-1,6.35,6.35
C489587,2009-12-01,21639,16422,United Kingdom,-5,0.85,4.25
C489588,2009-12-01,79323P,13711,United Kingdom,-2,6.75,13.5
C489588,2009-12-01,79323GR,13711,United Kingdom,-2,6.75,13.5
C489588,2009-12-01,22120,13711,United Kingdom,-1,9.95,9.95
C489589,2009-12-01,21535,16150,United Kingdom,-1,2.55,2.55
C489589,2009-12-01,22073,16150,United Kingdom,-1,3.75,3.75
C489591,2009-12-01,79323B,12921,United Kingdom,-3,5.45,16.35
C489592,2009-12-01,22301,18287,United Kingdom,-2,2.55,5.1
C489595,2009-12-01,21752,15254,United Kingdom,-1,14.95,14.95
C489605,2009-12-01,21257,14558,United Kingdom,-2,7.95,15.9
C489610,2009-12-01,21364,17485,United Kingdom,-1,6.75,6.75
C489610,2009-12-01,22164,17485,United Kingdom,-1,2.95,2.95
C489610,2009-12-01,21892,17485,United Kingdom,-3,1.25,3.75
C489610,2009-12-01,20682,17485,United Kingdom,-1,3.25,3.25
C489610,2009-12-01,85123A,17485,United Kingdom,-1,2.95,2.95
C489610,2009-12-01,22138,17485,United Kingdom,-2,4.95,9.9
C489632,2009-12-01,20814,13381,United Kingdom,-12,1.25,15.0
C489632,2009-12-01,20814,13381,United Kingdom,-1,1.25,1.25
C489636,2009-12-01,21576,17345,United Kingdom,-2,2.25,4.5
C489636,2009-12-01,21579,17345,United Kingdom,-1,2.25,2.25
C489636,2009-12-01,21578,17345,United Kingdom,-2,2.25,4.5
C489636,2009-12-01,22142,17345,United Kingdom,-2,1.45,2.9
C489636,2009-12-01,22145,17345,United Kingdom,-2,2.1,4.2
C489636,2009-12-01,22144,17345,United Kingdom,-1,2.1,2.1
C489636,2009-12-01,21329,17345,United Kingdom,-8,1.65,13.2
C489636,2009-12-01,21330,17345,United Kingdom,-9,1.65,14.85
C489636,2009-12-01,84029E,17345,United Kingdom,-4,3.75,15.0
C489636,2009-12-01,84032B,17345,United Kingdom,-3,2.95,8.85
C489636,2009-12-01,21577,17345,United Kingdom,-1,2.25,2.25
C489643,2009-12-01,20686,15750,United Kingdom,-1,3.25,3.25
C489643,2009-12-01,22167,15750,United Kingdom,-1,9.95,9.95
C489643,2009-12-01,84839,15750,United Kingdom,-2,6.75,13.5
C489643,2009-12-01,21429,15750,United Kingdom,-1,1.65,1.65
C489643,2009-12-01,47594B,15750,United Kingdom,-1,1.95,1.95
C489685,2009-12-02,21843,12523,France,-1,10.95,10.95
C489686,2009-12-02,79191C,17019,United Kingdom,-2,0.85,1.7
C489689,2009-12-02,21843,15353,United Kingdom,-2,10.95,21.9
C489713,2009-12-02,21094,12755,Japan,-150,0.64,96.0
C489713,2009-12-02,22071,12755,Japan,-18,2.75,49.5
C489713,2009-12-02,22070,12755,Japan,-23,2.75,63.25
C489771,2009-12-02,20914,13623,United Kingdom,-1,2.95,2.95
C489799,2009-12-02,21929,13070,United Kingdom,-2,1.95,3.9
C489799,2009-12-02,20711,13070,United Kingdom,-2,1.95,3.9
C489803,2009-12-02,21843,16797,United Kingdom,-1,10.95,10.95
C489813,2009-12-02,84472,17867,United Kingdom,-1,45.95,45.95
C489813,2009-12-02,84622,17867,United Kingdom,-1,5.95,5.95
C489828,2009-12-02,72807C,13313,United Kingdom,-2,4.25,8.5
C489858,2009-12-02,22198,12471,Germany,-7,1.65,11.55
C489858,2009-12-02,20914,12471,Germany,-3,2.95,8.85
C489860,2009-12-02,90029,0,United Kingdom,-1,8.5,8.5
C489881,2009-12-02,21102,0,Nigeria,-31,2.55,79.05
C489881,2009-12-02,72802A,0,Nigeria,-16,4.25,68.0
C489911,2009-12-03,85232A,12705,Germany,-6,4.95,29.7
C489911,2009-12-03,21491,12705,Germany,-3,1.95,5.85
C489911,2009-12-03,21432,12705,Germany,-1,5.95,5.95
C489955,2009-12-03,20870,12484,Spain,-1,2.1,2.1
C489955,2009-12-03,21232,12484,Spain,-1,1.25,1.25
C489958,2009-12-03,22044,14895,United Kingdom,-1,0.42,0.42
C489958,2009-12-03,85069,14895,United Kingdom,-3,16.95,50.85
C489973,2009-12-03,21232,17865,United Kingdom,-6,1.25,7.5
C489973,2009-12-03,22063,17865,United Kingdom,-1,2.95,2.95
C490051,2009-12-03,22215,16163,United Kingdom,-2,8.5,17.0
C490051,2009-12-03,22220,16163,United Kingdom,-2,9.95,19.9
C490076,2009-12-03,22139,13001,United Kingdom,-1,4.95,4.95
C490096,2009-12-03,20726,13457,United Kingdom,-1,1.65,1.65
C490098,2009-12-03,21868,17576,United Kingdom,-5,1.25,6.25
C490117,2009-12-03,22258,16570,United Kingdom,-48,1.25,60.0
C490120,2009-12-03,21092,14277,France,-12,0.85,10.2
C490120,2009-12-03,21099,14277,France,-12,0.65,7.8
C490120,2009-12-03,21094,14277,France,-12,0.85,10.2
C490120,2009-12-03,21080,14277,France,-12,0.85,10.2
C490120,2009-12-03,21086,14277,France,-12,0.65,7.8
C490120,2009-12-03,21121,14277,France,-24,1.25,30.0
C490120,2009-12-03,22352,14277,France,-12,2.55,30.6
C490120,2009-12-03,22353,14277,France,-6,2.55,15.3
C490120,2009-12-03,21212,14277,France,-24,0.55,13.2
C490120,2009-12-03,84997A,14277,France,-6,3.75,22.5
C490120,2009-12-03,84997D,14277,France,-6,3.75,22.5
C490120,2009-12-03,22333,14277,France,-16,1.65,26.4
C490120,2009-12-03,20682,14277,France,-6,3.25,19.5
C490120,2009-12-03,20681,14277,France,-6,3.25,19.5
C490120,2009-12-03,21889,14277,France,-12,1.25,15.0
C490120,2009-12-03,22331,14277,France,-8,1.65,13.2
C490120,2009-12-03,22138,14277,France,-9,4.95,44.55
C490122,2009-12-03,21432,16549,United Kingdom,-1,5.95,5.95
C490122,2009-12-03,21540,16549,United Kingdom,-1,4.25,4.25
C490131,2009-12-03,84828,17663,United Kingdom,-12,1.25,15.0
C490133,2009-12-03,72045D,17949,United Kingdom,-504,1.69,851.76
C490133,2009-12-03,20971,17949,United Kingdom,-600,1.06,636.0
C490133,2009-12-03,21314,17949,United Kingdom,-504,1.85,932.4
C490133,2009-12-03,21314,17949,United Kingdom,-252,1.85,466.2
C490133,2009-12-03,21314,17949,United Kingdom,-246,1.85,455.1
C490148,2009-12-04,85123A,16961,United Kingdom,-1,2.95,2.95
C490153,2009-12-04,21265,12525,France,-1,9.95,9.95
C490153,2009-12-04,21527,12525,France,-2,7.95,15.9
C490153,2009-12-04,22180,12525,France,-2,9.95,19.9
C490155,2009-12-04,82483,14221,United Kingdom,-1,5.95,5.95
C490251,2009-12-04,84081,16541,United Kingdom,-1,4.25,4.25
C490269,2009-12-04,78056,14527,United Kingdom,-1,8.5,8.5
C490269,2009-12-04,21539,14527,United Kingdom,-1,4.95,4.95
C490283,2009-12-04,22072,12349,Italy,-1,3.75,3.75
C490283,2009-12-04,20914,12349,Italy,-1,2.95,2.95
C490283,2009-12-04,21231,12349,Italy,-1,1.25,1.25
C490283,2009-12-04,21232,12349,Italy,-1,1.25,1.25
C490283,2009-12-04,20747,12349,Italy,-1,14.95,14.95
C490306,2009-12-04,21989,17193,United Kingdom,-36,0.85,30.6
C490309,2009-12-04,22138,15767,United Kingdom,-3,4.95,14.85
C490343,2009-12-04,21634,14087,United Kingdom,-24,1.25,30.0
C490348,2009-12-04,90002E,17884,United Kingdom,-1,3.75,3.75
C490348,2009-12-04,90040C,17884,United Kingdom,-3,3.5,10.5
C490348,2009-12-04,90040A,17884,United Kingdom,-3,3.5,10.5
C490350,2009-12-04,90002E,17884,United Kingdom,-2,3.75,7.5
C490358,2009-12-04,21527,18225,United Kingdom,-6,7.95,47.7
C490358,2009-12-04,85066,18225,United Kingdom,-3,10.95,32.85
C490358,2009-12-04,21535,18225,United Kingdom,-2,2.55,5.1
C490358,2009-12-04,21539,18225,United Kingdom,-1,4.95,4.95
C490358,2009-12-04,21258,18225,United Kingdom,-5,10.95,54.75
C490402,2009-12-06,85159A,15059,United Kingdom,-1,6.35,6.35
C490460,2009-12-06,85159A,15059,United Kingdom,-2,6.35,12.7
C490462,2009-12-06,21843,13736,United Kingdom,-1,10.95,10.95
C490469,2009-12-06,84352,16395,United Kingdom,-1,16.95,16.95
C490469,2009-12-06,90195A,16395,United Kingdom,-3,8.95,26.85
C490469,2009-12-06,84466,16395,United Kingdom,-1,1.25,1.25
C490469,2009-12-06,21528,16395,United Kingdom,-1,6.95,6.95
C490475,2009-12-06,21826,16395,United Kingdom,-12,1.25,15.0
C490480,2009-12-06,22187,14717,United Kingdom,-2,4.25,8.5
C490492,2009-12-06,90121B,15751,United Kingdom,-3,4.25,12.75
C490495,2009-12-06,84968B,17848,United Kingdom,-1,12.75,12.75
C490497,2009-12-06,85047,17969,United Kingdom,-1,6.35,6.35
C490498,2009-12-06,37483,15547,United Kingdom,-1,2.55,2.55
C490507,2009-12-06,22187,14606,United Kingdom,-2,4.25,8.5
C490507,2009-12-06,21950,14606,United Kingdom,-1,1.25,1.25
C490507,2009-12-06,37448,14606,United Kingdom,-1,1.49,1.49
C490509,2009-12-06,22184,15822,United Kingdom,-1,8.5,8.5
C490509,2009-12-06,85048,15822,United Kingdom,-2,7.95,15.9
C490510,2009-12-06,47589,13211,United Kingdom,-3,5.45,16.35
C490510,2009-12-06,20973,13211,United Kingdom,-1,0.65,0.65
C490513,2009-12-06,85043,17610,United Kingdom,-1,4.95,4.95
C490513,2009-12-06,79340W,17610,United Kingdom,-1,7.95,7.95
C490513,2009-12-06,21734,17610,United Kingdom,-1,3.75,3.75
C490513,2009-12-06,20727,17610,United Kingdom,-1,1.65,1.65
C490513,2009-12-06,20973,17610,United Kingdom,-2,0.65,1.3
C490513,2009-12-06,21733,17610,United Kingdom,-1,2.95,2.95
C490513,2009-12-06,85232B,17610,United Kingdom,-1,4.95,4.95
C490513,2009-12-06,15044D,17610,United Kingdom,-1,2.95,2.95
C490513,2009-12-06,22171,17610,United Kingdom,-1,8.5,8.5
C490520,2009-12-06,47589,13211,United Kingdom,-1,5.45,5.45
C490532,2009-12-06,21450,15691,United Kingdom,-10,5.95,59.5
C490544,2009-12-07,22139,16163,United Kingdom,-6,4.95,29.7
C490565,2009-12-07,22335,14113,United Kingdom,-48,0.65,31.2
C490565,2009-12-07,21527,14113,United Kingdom,-2,7.95,15.9
C490565,2009-12-07,22301,14113,United Kingdom,-1,2.55,2.55
C490666,2009-12-07,21361,16404,United Kingdom,-1,12.75,12.75
C490700,2009-12-07,90214G,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214P,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214E,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214J,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214S,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214C,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214A,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214L,14695,United Kingdom,-6,1.25,7.5
C490700,2009-12-07,90214I,14695,United Kingdom,-6,1.25,7.5
C490701,2009-12-07,22138,12677,France,-1,4.95,4.95
C490701,2009-12-07,20723,12677,France,-1,0.85,0.85
C490702,2009-12-07,47566,12424,Australia,-1,4.65,4.65
C490702,2009-12-07,47590B,12424,Australia,-3,5.45,16.35
C490721,2009-12-07,21232,14156,Ireland,-1,1.25,1.25
C490721,2009-12-07,84782C,14156,Ireland,-1,12.75,12.75
C490739,2009-12-07,22003,16436,United Kingdom,-10,6.75,67.5
C490739,2009-12-07,22295,16436,United Kingdom,-12,1.65,19.8
C490740,2009-12-07,35400,14209,United Kingdom,-1,8.95,8.95
C490742,2009-12-07,21527,13807,United Kingdom,-1,7.95,7.95
C490742,2009-12-07,85063,13807,United Kingdom,-1,16.95,16.95
C490743,2009-12-07,37449,14763,United Kingdom,-1,9.95,9.95
C490744,2009-12-07,21622,16556,United Kingdom,-1,4.95,4.95
C490744,2009-12-07,21662,16556,United Kingdom,-1,5.95,5.95
C490744,2009-12-07,21663,16556,United Kingdom,-1,5.95,5.95
C490744,2009-12-07,21658,16556,United Kingdom,-1,3.95,3.95
C490744,2009-12-07,85014B,16556,United Kingdom,-1,5.95,5.95
C490746,2009-12-07,85065,14013,United Kingdom,-1,12.75,12.75
C490746,2009-12-07,85067,14013,United Kingdom,-1,18.95,18.95
C490746,2009-12-07,85063,14013,United Kingdom,-1,16.95,16.95
C490746,2009-12-07,22138,14013,United Kingdom,-6,4.95,29.7
C490756,2009-12-08,21125,12424,Australia,-1,1.25,1.25
C490756,2009-12-08,21126,12424,Australia,-2,1.25,2.5
C490768,2009-12-08,82484,14277,France,-1,6.45,6.45
C490768,2009-12-08,84472,14277,France,-1,45.95,45.95
C490773,2009-12-08,22061,16593,United Kingdom,-1,9.95,9.95
C490773,2009-12-08,22060,16593,United Kingdom,-1,9.95,9.95
C490798,2009-12-08,21092,14277,France,-12,0.85,10.2
C490798,2009-12-08,21099,14277,France,-12,0.65,7.8
C490798,2009-12-08,21094,14277,France,-12,0.85,10.2
C490798,2009-12-08,21080,14277,France,-12,0.85,10.2
C490798,2009-12-08,21086,14277,France,-12,0.65,7.8
C490798,2009-12-08,21121,14277,France,-24,1.25,30.0
C490798,2009-12-08,22352,14277,France,-12,2.55,30.6
C490798,2009-12-08,22353,14277,France,-6,2.55,15.3
C490798,2009-12-08,21212,14277,France,-24,0.55,13.2
C490798,2009-12-08,84997A,14277,France,-6,3.75,22.5
C490798,2009-12-08,84997D,14277,France,-6,3.75,22.5
C490798,2009-12-08,22333,14277,France,-16,1.65,26.4
C490798,2009-12-08,20682,14277,France,-6,3.25,19.5
C490798,2009-12-08,20681,14277,France,-6,3.25,19.5
C490798,2009-12-08,21889,14277,France,-12,1.25,15.0
C490798,2009-12-08,22331,14277,France,-8,1.65,13.2
C490798,2009-12-08,22138,14277,France,-9,4.95,44.55
C490807,2009-12-08,20661,13091,United Kingdom,-12,2.95,35.4
C490807,2009-12-08,21901,13091,United Kingdom,-48,0.65,31.2
C490807,2009-12-08,22123,13091,United Kingdom,-12,5.95,71.4
C490807,2009-12-08,22174,13091,United Kingdom,-24,1.65,39.6
C490807,2009-12-08,22095,13091,United Kingdom,-36,1.06,38.16
C490807,2009-12-08,22107,13091,United Kingdom,-32,3.39,108.48
C490807,2009-12-08,21743,13091,United Kingdom,-24,2.95,70.8
C490807,2009-12-08,21098,13091,United Kingdom,-36,1.25,45.0
C490807,2009-12-08,21490,13091,United Kingdom,-12,1.95,23.4
C490807,2009-12-08,51014L,13091,United Kingdom,-60,0.85,51.0
C490807,2009-12-08,20940,13091,United Kingdom,-18,2.95,53.1
C490807,2009-12-08,85175,13091,United Kingdom,-96,0.42,40.32
C490807,2009-12-08,84692,13091,United Kingdom,-50,0.42,21.0
C490807,2009-12-08,85217,13091,United Kingdom,-24,0.65,15.6
C490807,2009-12-08,21700,13091,United Kingdom,-24,0.85,20.4
C490807,2009-12-08,22064,13091,United Kingdom,-24,1.65,39.6
C490807,2009-12-08,20658,13091,United Kingdom,-12,1.25,15.0
C490807,2009-12-08,20670,13091,United Kingdom,-6,2.95,17.7
C490807,2009-12-08,20665,13091,United Kingdom,-12,2.95,35.4
C490807,2009-12-08,84510A,13091,United Kingdom,-10,1.25,12.5
C490807,2009-12-08,21871,13091,United Kingdom,-12,1.25,15.0
C490807,2009-12-08,21870,13091,United Kingdom,-12,1.25,15.0
C490807,2009-12-08,84596E,13091,United Kingdom,-16,1.25,20.0
C490807,2009-12-08,84596B,13091,United Kingdom,-16,1.25,20.0
C490807,2009-12-08,21866,13091,United Kingdom,-12,1.25,15.0
C490807,2009-12-08,21634,13091,United Kingdom,-24,1.25,30.0
C490807,2009-12-08,51014A,13091,United Kingdom,-60,0.85,51.0
C490807,2009-12-08,16033,13091,United Kingdom,-120,0.12,14.4
C490807,2009-12-08,10138,13091,United Kingdom,-96,0.42,40.32
C490807,2009-12-08,22030,13091,United Kingdom,-48,0.42,20.16
C490807,2009-12-08,84077,13091,United Kingdom,-96,0.21,20.16
C490807,2009-12-08,51014C,13091,United Kingdom,-60,0.85,51.0
C490807,2009-12-08,21703,13091,United Kingdom,-36,0.42,15.12
C490807,2009-12-08,35004B,13091,United Kingdom,-12,4.65,55.8
C490807,2009-12-08,84030C,13091,United Kingdom,-4,3.75,15.0
C490807,2009-12-08,84029E,13091,United Kingdom,-4,3.75,15.0
C490807,2009-12-08,84029G,13091,United Kingdom,-4,3.75,15.0
C490866,2009-12-08,85065,17213,United Kingdom,-1,12.75,12.75
C490866,2009-12-08,51012C,17213,United Kingdom,-1,1.25,1.25
C490866,2009-12-08,82483,17213,United Kingdom,-1,5.95,5.95
C490866,2009-12-08,20829,17213,United Kingdom,-1,2.1,2.1
C490866,2009-12-08,79323S,17213,United Kingdom,-1,6.75,6.75
C490923,2009-12-08,22138,16163,United Kingdom,-3,4.95,14.85
C490929,2009-12-08,22139,13915,United Kingdom,-4,4.95,19.8
C490929,2009-12-08,22138,13915,United Kingdom,-4,4.95,19.8
C490931,2009-12-08,85048,14925,United Kingdom,-1,7.95,7.95
C490934,2009-12-08,20914,14156,Ireland,-1,2.55,2.55
C490935,2009-12-08,48195,15326,United Kingdom,-2,6.75,13.5
C490935,2009-12-08,72127,15326,United Kingdom,-1,1.25,1.25
C490935,2009-12-08,85216,15326,United Kingdom,-1,0.65,0.65
C490935,2009-12-08,85042,15326,United Kingdom,-1,4.95,4.95
C490935,2009-12-08,85150,15326,United Kingdom,-6,2.55,15.3
C490935,2009-12-08,21761,15326,United Kingdom,-1,29.95,29.95
C490935,2009-12-08,21463,15326,United Kingdom,-1,5.95,5.95
C490935,2009-12-08,84839,15326,United Kingdom,-1,6.75,6.75
C490935,2009-12-08,85162A,15326,United Kingdom,-1,9.95,9.95
C490939,2009-12-08,22352,16736,United Kingdom,-6,2.55,15.3
C490942,2009-12-08,21576,14337,United Kingdom,-6,2.25,13.5
C490942,2009-12-08,21580,14337,United Kingdom,-6,2.25,13.5
C490942,2009-12-08,21581,14337,United Kingdom,-8,2.25,18.0
C490942,2009-12-08,21679,14337,United Kingdom,-12,0.85,10.2
C490942,2009-12-08,21791,14337,United Kingdom,-12,1.25,15.0
C490942,2009-12-08,84270,14337,United Kingdom,-60,0.21,12.6
C490942,2009-12-08,21700,14337,United Kingdom,-24,0.85,20.4
C490942,2009-12-08,85217,14337,United Kingdom,-24,0.65,15.6
C490942,2009-12-08,85216,14337,United Kingdom,-24,0.65,15.6
C490942,2009-12-08,84032A,14337,United Kingdom,-8,2.95,23.6
C490942,2009-12-08,84032B,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,22111,14337,United Kingdom,-8,4.95,39.6
C490942,2009-12-08,84029G,14337,United Kingdom,-4,3.75,15.0
C490942,2009-12-08,84030E,14337,United Kingdom,-5,4.25,21.25
C490942,2009-12-08,21578,14337,United Kingdom,-6,2.25,13.5
C490942,2009-12-08,20694,14337,United Kingdom,-4,3.75,15.0
C490942,2009-12-08,21888,14337,United Kingdom,-4,3.75,15.0
C490942,2009-12-08,21701,14337,United Kingdom,-12,1.69,20.28
C490942,2009-12-08,84031A,14337,United Kingdom,-5,4.65,23.25
C490942,2009-12-08,84031B,14337,United Kingdom,-5,4.65,23.25
C490942,2009-12-08,21485,14337,United Kingdom,-6,4.95,29.7
C490942,2009-12-08,21579,14337,United Kingdom,-6,2.25,13.5
C490942,2009-12-08,21481,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,84029E,14337,United Kingdom,-6,3.75,22.5
C490942,2009-12-08,11001,14337,United Kingdom,-16,1.69,27.04
C490942,2009-12-08,20695,14337,United Kingdom,-3,4.25,12.75
C490942,2009-12-08,21889,14337,United Kingdom,-12,1.25,15.0
C490942,2009-12-08,21832,14337,United Kingdom,-12,1.65,19.8
C490942,2009-12-08,20935,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,20936,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,85175,14337,United Kingdom,-32,0.42,13.44
C490942,2009-12-08,85172,14337,United Kingdom,-16,0.42,6.72
C490942,2009-12-08,21480,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,21482,14337,United Kingdom,-6,2.95,17.7
C490942,2009-12-08,21479,14337,United Kingdom,-8,3.75,30.0
C490942,2009-12-08,22125,14337,United Kingdom,-3,5.95,17.85
C490946,2009-12-08,21098,13091,United Kingdom,-36,1.25,45.0
C490946,2009-12-08,21490,13091,United Kingdom,-12,1.95,23.4
C490946,2009-12-08,51014L,13091,United Kingdom,-60,0.85,51.0
C490946,2009-12-08,20940,13091,United Kingdom,-18,2.95,53.1
C490946,2009-12-08,85175,13091,United Kingdom,-96,0.42,40.32
C490946,2009-12-08,84692,13091,United Kingdom,-50,0.42,21.0
C490946,2009-12-08,85217,13091,United Kingdom,-24,0.65,15.6
C490946,2009-12-08,21700,13091,United Kingdom,-24,0.85,20.4
C490946,2009-12-08,22064,13091,United Kingdom,-24,1.65,39.6
C490946,2009-12-08,20658,13091,United Kingdom,-12,1.25,15.0
C490946,2009-12-08,20661,13091,United Kingdom,-12,2.95,35.4
C490946,2009-12-08,20665,13091,United Kingdom,-12,2.95,35.4
C490946,2009-12-08,84510A,13091,United Kingdom,-10,1.25,12.5
C490946,2009-12-08,21871,13091,United Kingdom,-12,1.25,15.0
C490946,2009-12-08,21870,13091,United Kingdom,-12,1.25,15.0
C490946,2009-12-08,84596E,13091,United Kingdom,-16,1.25,20.0
C490946,2009-12-08,84596B,13091,United Kingdom,-16,1.25,20.0
C490946,2009-12-08,21866,13091,United Kingdom,-12,1.25,15.0
C490946,2009-12-08,21634,13091,United Kingdom,-24,1.25,30.0
C490946,2009-12-08,51014A,13091,United Kingdom,-60,0.85,51.0
C490946,2009-12-08,16033,13091,United Kingdom,-120,0.12,14.4
C490946,2009-12-08,10138,13091,United Kingdom,-96,0.42,40.32
C490946,2009-12-08,22030,13091,United Kingdom,-48,0.42,20.16
C490946,2009-12-08,84077,13091,United Kingdom,-96,0.21,20.16
C490946,2009-12-08,51014C,13091,United Kingdom,-60,0.85,51.0
C490946,2009-12-08,21703,13091,United Kingdom,-36,0.42,15.12
C490946,2009-12-08,35004B,13091,United Kingdom,-12,4.65,55.8
C490946,2009-12-08,84030C,13091,United Kingdom,-4,3.75,15.0
C490946,2009-12-08,84029E,13091,United Kingdom,-4,3.75,15.0
C490946,2009-12-08,84029G,13091,United Kingdom,-4,3.75,15.0
C490946,2009-12-08,20670,13091,United Kingdom,-6,2.95,17.7
C490946,2009-12-08,21901,13091,United Kingdom,-48,0.65,31.2
