CustomerID,Country,FirstPurchase,LastPurchase,Orders,Revenue,RecencyDays,R,F,M,Segment
12393,Australia,2010-10-07 13:49:00,2011-09-28 15:41:00,6.0,2399.45,72.0,3.0,3.0,4.0,Champions
12394,Denmark,2011-05-06 14:01:00,2011-10-07 08:08:00,2.0,1080.48,64.0,3.0,2.0,3.0,Recent / Promising
12395,Belgium,2010-04-16 10:16:00,2011-11-20 15:21:00,15.0,4241.17,19.0,4.0,4.0,4.0,Champions
12396,South Africa,2010-02-03 13:22:00,2010-02-03 13:22:00,1.0,931.43,674.0,1.0,1.0,3.0,Hibernating
12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,2.0,2214.9,36.0,3.0,2.0,3.0,Recent / Promising
12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,1.0,1435.66,46.0,3.0,1.0,3.0,Recent / Promising
12399,Belgium,2010-03-05 08:45:00,2011-08-12 13:15:00,7.0,1842.3,119.0,2.0,3.0,3.0,Loyal
12400,Australia,2010-10-21 13:45:00,2010-10-21 13:45:00,1.0,205.25,414.0,1.0,1.0,1.0,Hibernating
12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,1.0,69.3,303.0,2.0,1.0,1.0,Hibernating
12402,Belgium,2010-02-07 12:41:00,2011-01-20 13:49:00,6.0,1136.9,323.0,2.0,3.0,3.0,Loyal
12403,Denmark,2010-07-06 11:39:00,2011-10-21 10:51:00,2.0,947.36,50.0,3.0,2.0,3.0,Recent / Promising
12405,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,1.0,1390.39,149.0,2.0,1.0,3.0,Hibernating
12406,Denmark,2010-01-11 14:04:00,2011-11-17 19:22:00,5.0,6390.36,22.0,4.0,3.0,4.0,Champions
12407,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,5.0,1507.12,50.0,3.0,3.0,3.0,Champions
12408,Belgium,2010-07-29 13:27:00,2011-11-07 12:27:00,8.0,3905.77,33.0,3.0,4.0,4.0,Champions
12409,Switzerland,2010-05-23 15:21:00,2011-09-22 10:38:00,7.0,23419.29,79.0,3.0,3.0,4.0,Champions
12410,Switzerland,2010-07-25 13:26:00,2011-02-04 10:39:00,3.0,773.71,309.0,2.0,2.0,2.0,Hibernating
12411,Australia,2010-10-26 09:25:00,2010-10-26 09:25:00,1.0,346.9,410.0,1.0,1.0,2.0,Hibernating
12412,Denmark,2010-06-18 13:22:00,2011-09-26 10:16:00,6.0,2404.93,75.0,3.0,3.0,4.0,Champions
12413,France,2010-11-02 13:26:00,2011-10-04 09:00:00,4.0,871.45,67.0,3.0,3.0,3.0,Champions
12414,Austria,2010-09-02 12:22:00,2011-05-06 14:51:00,4.0,532.41,217.0,2.0,3.0,2.0,Loyal
12415,Australia,2010-06-30 08:30:00,2011-11-15 14:22:00,24.0,144033.37,24.0,4.0,4.0,4.0,Champions
12416,Australia,2010-02-21 10:19:00,2010-02-21 10:19:00,1.0,202.56,657.0,1.0,1.0,1.0,Hibernating
12417,Belgium,2009-12-06 10:30:00,2011-12-06 14:52:00,20.0,5998.41,3.0,4.0,4.0,4.0,Champions
12418,Switzerland,2010-03-19 14:47:00,2011-08-19 11:08:00,4.0,2021.2,113.0,2.0,3.0,3.0,Loyal
12419,Spain,2010-10-22 10:40:00,2010-11-19 10:04:00,2.0,391.01,386.0,1.0,2.0,2.0,At Risk
12420,Cyprus,2011-10-07 08:55:00,2011-10-07 08:55:00,1.0,600.39,64.0,3.0,1.0,2.0,Recent / Promising
12421,Spain,2010-07-22 13:57:00,2011-11-24 09:07:00,6.0,874.6,16.0,4.0,3.0,3.0,Champions
12422,Australia,2009-12-18 12:44:00,2011-09-05 09:48:00,12.0,3639.35,96.0,2.0,4.0,4.0,Loyal
12423,Belgium,2010-08-31 09:31:00,2011-12-09 10:10:00,10.0,2301.39,1.0,4.0,4.0,4.0,Champions
12424,Australia,2010-06-09 15:15:00,2011-06-30 12:06:00,4.0,3340.03,163.0,2.0,3.0,4.0,Loyal
12425,Portugal,2010-09-17 14:10:00,2011-09-22 17:31:00,2.0,1741.41,78.0,3.0,2.0,3.0,Recent / Promising
12426,Germany,2010-02-15 08:41:00,2011-05-29 12:26:00,2.0,1201.21,195.0,2.0,2.0,3.0,Hibernating
12427,Germany,2010-12-03 10:44:00,2011-11-18 08:56:00,3.0,699.8,22.0,4.0,2.0,2.0,Recent / Promising
12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,8.0,6405.26,26.0,3.0,4.0,4.0,Champions
12429,Denmark,2010-06-11 13:28:00,2011-11-30 17:22:00,8.0,5842.41,9.0,4.0,4.0,4.0,Champions
12430,Norway,2011-10-27 15:09:00,2011-10-27 15:09:00,1.0,216.4,43.0,3.0,1.0,1.0,Recent / Promising
12431,Australia,2010-01-15 09:04:00,2011-11-04 11:55:00,25.0,10102.22,36.0,3.0,4.0,4.0,Champions
12432,Norway,2011-06-20 13:27:00,2011-10-28 11:43:00,4.0,4359.32,43.0,3.0,3.0,4.0,Champions
12433,Norway,2010-08-20 09:23:00,2011-12-09 10:02:00,10.0,16794.14,1.0,4.0,4.0,4.0,Champions
12434,Australia,2010-11-23 13:38:00,2011-09-16 12:38:00,3.0,1103.43,85.0,3.0,2.0,3.0,Recent / Promising
12435,Denmark,2009-12-02 13:58:00,2011-09-21 09:06:00,6.0,13925.93,80.0,3.0,3.0,4.0,Champions
12436,Norway,2011-09-01 12:09:00,2011-09-01 12:09:00,1.0,429.01,100.0,2.0,1.0,2.0,Hibernating
12437,France,2009-12-02 16:24:00,2011-12-08 11:35:00,38.0,11282.4,2.0,4.0,4.0,4.0,Champions
12438,Norway,2011-07-22 13:29:00,2011-11-25 13:28:00,2.0,2466.85,14.0,4.0,2.0,4.0,Recent / Promising
12439,Cyprus,2009-12-14 08:40:00,2010-01-26 12:11:00,2.0,1142.88,683.0,1.0,2.0,3.0,At Risk
12440,Austria,2009-12-22 12:03:00,2010-09-03 13:11:00,2.0,739.2,462.0,1.0,2.0,2.0,At Risk
12441,France,2010-12-08 10:45:00,2010-12-08 10:45:00,1.0,155.55,367.0,2.0,1.0,1.0,Hibernating
12442,Spain,2011-12-06 14:22:00,2011-12-06 14:22:00,1.0,144.06,3.0,4.0,1.0,1.0,Recent / Promising
12443,Norway,2009-12-07 15:42:00,2009-12-07 15:42:00,1.0,365.31,732.0,1.0,1.0,2.0,Hibernating
12444,Norway,2011-06-21 14:00:00,2011-11-18 13:23:00,5.0,4085.46,21.0,4.0,3.0,4.0,Champions
12445,Spain,2010-10-15 12:28:00,2011-11-17 18:43:00,2.0,378.98,22.0,4.0,2.0,2.0,Recent / Promising
12446,South Africa,2011-10-13 12:50:00,2011-10-13 12:50:00,1.0,1002.31,58.0,3.0,1.0,3.0,Recent / Promising
12447,Belgium,2011-04-10 13:25:00,2011-04-10 13:25:00,1.0,431.49,243.0,2.0,1.0,2.0,Hibernating
12448,Spain,2011-10-26 13:46:00,2011-10-26 13:46:00,1.0,365.45,44.0,3.0,1.0,2.0,Recent / Promising
12449,Belgium,2010-09-27 09:37:00,2011-11-17 13:46:00,5.0,4274.89,22.0,4.0,3.0,4.0,Champions
12450,Spain,2010-08-22 13:11:00,2011-07-06 14:41:00,5.0,688.2,156.0,2.0,3.0,2.0,Loyal
12451,Switzerland,2010-06-28 12:58:00,2011-11-29 08:40:00,8.0,12629.88,11.0,4.0,4.0,4.0,Champions
12452,Switzerland,2011-11-23 08:05:00,2011-11-23 08:05:00,1.0,348.57,17.0,4.0,1.0,2.0,Recent / Promising
12453,Austria,2011-07-28 14:08:00,2011-07-28 14:08:00,1.0,707.09,134.0,2.0,1.0,2.0,Hibernating
12454,Spain,2010-10-14 17:33:00,2011-10-14 17:13:00,4.0,16459.78,56.0,3.0,3.0,4.0,Champions
12455,Spain,2009-12-18 12:33:00,2011-09-27 15:31:00,9.0,5722.95,73.0,3.0,4.0,4.0,Champions
12456,Switzerland,2011-03-30 09:12:00,2011-10-26 14:41:00,3.0,2581.04,44.0,3.0,2.0,4.0,Recent / Promising
12457,Cyprus,2010-09-30 17:59:00,2011-10-04 13:13:00,7.0,2555.91,66.0,3.0,3.0,4.0,Champions
12458,Switzerland,2010-08-09 10:33:00,2011-09-29 15:25:00,4.0,1502.49,71.0,3.0,3.0,3.0,Champions
12459,Spain,2010-04-13 14:53:00,2010-04-13 14:53:00,1.0,398.36,605.0,1.0,1.0,2.0,Hibernating
12460,Belgium,2010-09-09 13:51:00,2010-09-09 13:51:00,1.0,296.65,456.0,1.0,1.0,1.0,Hibernating
12461,Switzerland,2011-07-08 10:23:00,2011-07-08 10:23:00,1.0,626.88,155.0,2.0,1.0,2.0,Hibernating
12462,Spain,2011-02-09 14:44:00,2011-11-21 09:11:00,2.0,937.59,19.0,4.0,2.0,3.0,Recent / Promising
12463,Belgium,2011-04-12 12:47:00,2011-10-17 13:44:00,4.0,1200.78,53.0,3.0,3.0,3.0,Champions
12464,Belgium,2011-02-03 13:30:00,2011-11-29 13:33:00,8.0,957.05,10.0,4.0,4.0,3.0,Champions
12465,Belgium,2011-06-23 13:37:00,2011-11-22 16:34:00,2.0,682.19,17.0,4.0,2.0,2.0,Recent / Promising
12467,USA,2010-10-12 15:41:00,2010-10-12 15:41:00,1.0,132.8,423.0,1.0,1.0,1.0,Hibernating
12468,Germany,2010-01-26 10:09:00,2011-06-05 11:36:00,5.0,3238.74,188.0,2.0,3.0,4.0,Loyal
12469,Thailand,2010-06-21 10:30:00,2010-07-05 12:40:00,2.0,3070.54,523.0,1.0,2.0,4.0,At Risk
12470,Unknown,2010-01-19 11:01:00,2010-01-19 11:01:00,1.0,211.95,690.0,1.0,1.0,1.0,Hibernating
12471,Germany,2009-12-07 10:41:00,2011-12-07 15:43:00,71.0,35099.9,2.0,4.0,4.0,4.0,Champions
12472,Germany,2009-12-14 10:49:00,2011-11-07 14:01:00,19.0,14971.29,32.0,3.0,4.0,4.0,Champions
12473,Germany,2011-06-01 10:15:00,2011-10-17 11:27:00,3.0,2585.73,54.0,3.0,2.0,4.0,Recent / Promising
12474,Germany,2010-02-11 09:41:00,2011-11-22 14:39:00,29.0,11310.75,17.0,4.0,4.0,4.0,Champions
12475,Germany,2010-10-26 08:49:00,2011-10-17 10:10:00,2.0,1065.64,54.0,3.0,2.0,3.0,Recent / Promising
12476,Germany,2010-07-26 09:04:00,2011-11-24 12:40:00,18.0,12319.91,16.0,4.0,4.0,4.0,Champions
12477,Germany,2010-03-26 14:01:00,2011-11-17 09:51:00,9.0,20276.37,23.0,4.0,4.0,4.0,Champions
12478,Greece,2011-12-06 09:56:00,2011-12-06 09:56:00,1.0,545.99,4.0,4.0,1.0,2.0,Recent / Promising
12479,Germany,2011-11-28 13:26:00,2011-11-28 13:26:00,1.0,473.2,11.0,4.0,1.0,2.0,Recent / Promising
12480,Germany,2010-07-20 13:21:00,2011-11-11 14:52:00,7.0,4834.85,28.0,3.0,3.0,4.0,Champions
12481,Germany,2010-04-11 13:10:00,2011-11-17 08:29:00,14.0,11033.51,23.0,4.0,4.0,4.0,Champions
12482,Sweden,2010-02-24 10:24:00,2010-05-12 16:51:00,27.0,21941.72,576.0,1.0,4.0,4.0,Loyal
12483,Sweden,2010-01-31 13:28:00,2011-11-22 17:02:00,19.0,4069.18,17.0,4.0,4.0,4.0,Champions
12484,Spain,2010-01-27 16:41:00,2011-11-04 15:18:00,9.0,5557.1,35.0,3.0,4.0,4.0,Champions
12485,Sweden,2010-06-28 15:22:00,2010-06-28 15:22:00,1.0,708.1,529.0,1.0,1.0,2.0,Hibernating
12486,Sweden,2010-10-04 12:14:00,2010-10-04 12:14:00,1.0,917.28,432.0,1.0,1.0,3.0,Hibernating
12487,Sweden,2009-12-09 11:36:00,2009-12-09 11:36:00,1.0,285.3,731.0,1.0,1.0,1.0,Hibernating
12488,France,2011-09-25 10:34:00,2011-11-30 08:50:00,3.0,1244.66,10.0,4.0,2.0,3.0,Recent / Promising
12489,France,2011-01-07 13:13:00,2011-01-07 13:13:00,1.0,298.93,336.0,2.0,1.0,1.0,Hibernating
12490,France,2009-12-01 12:52:00,2011-12-04 16:07:00,20.0,8764.64,5.0,4.0,4.0,4.0,Champions
12491,France,2011-11-01 12:18:00,2011-11-01 12:18:00,1.0,424.4,39.0,3.0,1.0,2.0,Recent / Promising
12492,Germany,2010-11-01 14:58:00,2011-10-07 15:15:00,3.0,607.21,63.0,3.0,2.0,2.0,Recent / Promising
12493,France,2011-05-26 14:53:00,2011-06-27 10:17:00,2.0,379.74,166.0,2.0,2.0,2.0,Hibernating
12494,France,2010-05-12 13:52:00,2011-11-24 09:34:00,9.0,1563.27,16.0,4.0,4.0,3.0,Champions
12495,Sweden,2010-03-09 10:53:00,2010-03-09 10:53:00,1.0,277.4,641.0,1.0,1.0,1.0,Hibernating
12496,Spain,2010-03-29 13:57:00,2010-03-29 14:06:00,2.0,45.34,620.0,1.0,2.0,1.0,At Risk
12497,Germany,2010-03-05 09:39:00,2011-09-19 12:29:00,3.0,5996.5,82.0,3.0,2.0,4.0,Recent / Promising
12498,Germany,2011-10-13 09:30:00,2011-11-18 12:53:00,3.0,349.7,21.0,4.0,2.0,2.0,Recent / Promising
12499,Germany,2010-05-28 15:12:00,2010-05-28 15:12:00,1.0,357.72,560.0,1.0,1.0,2.0,Hibernating
12500,Germany,2010-02-04 15:05:00,2011-11-16 16:20:00,18.0,5559.21,23.0,4.0,4.0,4.0,Champions
12501,Germany,2011-01-07 12:28:00,2011-01-07 12:28:00,1.0,2025.39,337.0,2.0,1.0,3.0,Hibernating
12502,Spain,2011-02-03 10:41:00,2011-09-05 11:52:00,5.0,2995.87,96.0,2.0,3.0,4.0,Loyal
12503,Spain,2010-05-04 13:59:00,2010-05-04 13:59:00,1.0,896.0,584.0,1.0,1.0,3.0,Hibernating
12504,Germany,2010-04-22 10:24:00,2011-11-21 16:02:00,4.0,689.05,18.0,4.0,3.0,2.0,Loyal
12505,Italy,2010-10-27 09:18:00,2010-10-27 09:18:00,1.0,787.2,409.0,1.0,1.0,2.0,Hibernating
12506,France,2011-04-21 08:54:00,2011-04-21 08:54:00,1.0,73.5,233.0,2.0,1.0,1.0,Hibernating
12507,Spain,2010-05-04 09:23:00,2011-07-28 17:09:00,4.0,1508.06,134.0,2.0,3.0,3.0,Loyal
12508,France,2011-11-10 16:27:00,2011-11-13 15:37:00,2.0,397.88,26.0,3.0,2.0,2.0,Recent / Promising
12509,France,2011-02-28 14:45:00,2011-02-28 14:45:00,1.0,158.5,284.0,2.0,1.0,1.0,Hibernating
12510,Spain,2009-12-04 13:47:00,2011-07-20 10:15:00,7.0,3039.03,143.0,2.0,3.0,4.0,Loyal
12511,Greece,2010-10-07 10:39:00,2010-10-07 10:39:00,1.0,3084.02,429.0,1.0,1.0,4.0,Hibernating
12512,Israel,2011-10-04 14:53:00,2011-10-04 14:55:00,2.0,132.18,66.0,3.0,2.0,1.0,Recent / Promising
12513,France,2011-08-19 10:51:00,2011-08-19 10:51:00,1.0,558.29,113.0,2.0,1.0,2.0,Hibernating
12514,Italy,2010-03-08 12:18:00,2011-03-17 16:38:00,2.0,1597.76,267.0,2.0,2.0,3.0,Hibernating
12515,Italy,2010-12-21 15:43:00,2010-12-21 15:43:00,1.0,278.7,353.0,2.0,1.0,1.0,Hibernating
12516,Germany,2010-04-19 14:14:00,2011-09-23 09:13:00,4.0,2288.62,78.0,3.0,3.0,4.0,Champions
12517,Germany,2011-06-02 15:13:00,2011-11-11 13:57:00,4.0,2301.6,28.0,3.0,3.0,4.0,Champions
12518,Germany,2011-08-21 13:18:00,2011-12-09 10:13:00,5.0,1840.89,1.0,4.0,3.0,3.0,Champions
12519,Germany,2010-08-20 08:21:00,2011-10-07 09:26:00,2.0,626.54,64.0,3.0,2.0,2.0,Recent / Promising
12520,Germany,2011-03-11 11:35:00,2011-09-21 15:23:00,5.0,2346.26,79.0,3.0,3.0,4.0,Champions
12521,Germany,2011-07-20 10:51:00,2011-07-20 10:51:00,1.0,545.68,143.0,2.0,1.0,2.0,Hibernating
12522,Germany,2011-10-19 14:41:00,2011-10-31 15:30:00,2.0,156.72,39.0,3.0,2.0,1.0,Recent / Promising
12523,France,2009-12-07 13:46:00,2011-11-20 12:55:00,23.0,4010.35,19.0,4.0,4.0,4.0,Champions
12524,Germany,2010-02-08 14:41:00,2011-11-30 15:31:00,17.0,9794.11,9.0,4.0,4.0,4.0,Champions
12525,France,2010-03-02 14:01:00,2010-07-29 16:08:00,3.0,883.73,498.0,1.0,2.0,3.0,At Risk
12526,Germany,2011-09-06 14:19:00,2011-12-09 12:09:00,3.0,1172.66,1.0,4.0,2.0,3.0,Recent / Promising
12527,Germany,2010-06-28 15:37:00,2011-09-19 11:55:00,5.0,717.51,82.0,3.0,3.0,2.0,Loyal
12528,Germany,2011-01-31 09:05:00,2011-11-30 14:40:00,6.0,1645.48,9.0,4.0,3.0,3.0,Champions
12529,France,2010-06-29 13:10:00,2010-06-29 13:10:00,1.0,316.48,528.0,1.0,1.0,1.0,Hibernating
12530,Germany,2010-03-07 14:37:00,2011-10-11 12:34:00,9.0,3381.26,60.0,3.0,4.0,4.0,Champions
12531,Germany,2010-01-22 14:17:00,2011-11-25 11:12:00,2.0,1771.2,15.0,4.0,2.0,3.0,Recent / Promising
12532,France,2011-11-09 13:47:00,2011-11-09 13:47:00,1.0,313.83,30.0,3.0,1.0,1.0,Recent / Promising
12533,Germany,2009-12-01 11:50:00,2010-03-22 10:56:00,2.0,1223.89,628.0,1.0,2.0,3.0,At Risk
12534,Germany,2011-08-01 10:26:00,2011-08-01 10:26:00,1.0,981.18,131.0,2.0,1.0,3.0,Hibernating
12535,France,2011-06-06 12:47:00,2011-09-09 08:48:00,2.0,716.35,92.0,3.0,2.0,2.0,Recent / Promising
12536,France,2011-10-11 14:52:00,2011-10-11 14:52:00,1.0,4279.71,59.0,3.0,1.0,4.0,Recent / Promising
12537,Sweden,2010-10-27 08:36:00,2010-10-27 08:36:00,1.0,612.94,409.0,1.0,1.0,2.0,Hibernating
12538,Spain,2010-11-26 13:02:00,2011-11-10 17:16:00,2.0,640.45,29.0,3.0,2.0,2.0,Recent / Promising
12539,Spain,2009-12-23 13:00:00,2011-11-17 13:30:00,7.0,11186.75,22.0,4.0,3.0,4.0,Champions
12540,Spain,2009-12-07 16:56:00,2011-11-20 11:31:00,32.0,19250.49,20.0,4.0,4.0,4.0,Champions
12541,Spain,2011-03-04 09:32:00,2011-11-10 10:40:00,3.0,841.18,30.0,3.0,2.0,2.0,Recent / Promising
12542,Spain,2010-03-09 16:26:00,2010-08-12 19:12:00,2.0,481.88,484.0,1.0,2.0,2.0,At Risk
12543,Spain,2010-09-17 15:51:00,2010-09-17 15:51:00,1.0,840.25,448.0,1.0,1.0,2.0,Hibernating
12544,Spain,2011-11-03 16:15:00,2011-11-03 16:15:00,1.0,316.7,36.0,3.0,1.0,1.0,Recent / Promising
12545,Spain,2011-03-25 12:04:00,2011-09-25 13:39:00,2.0,832.39,75.0,3.0,2.0,2.0,Recent / Promising
12546,Spain,2011-09-23 09:44:00,2011-10-24 12:09:00,2.0,1021.5,47.0,3.0,2.0,3.0,Recent / Promising
12547,Spain,2010-07-27 13:55:00,2011-05-26 12:38:00,3.0,299.58,198.0,2.0,2.0,1.0,Hibernating
12548,Spain,2011-06-26 15:35:00,2011-06-26 15:35:00,1.0,67.2,166.0,2.0,1.0,1.0,Hibernating
12549,USA,2010-01-11 12:29:00,2010-05-13 12:05:00,5.0,1570.68,576.0,1.0,3.0,3.0,Loyal
12550,Spain,2011-09-21 14:35:00,2011-09-21 14:35:00,1.0,824.83,79.0,3.0,1.0,2.0,Recent / Promising
12551,Spain,2010-12-17 11:23:00,2010-12-17 11:23:00,1.0,168.0,358.0,2.0,1.0,1.0,Hibernating
12552,Italy,2011-10-31 12:11:00,2011-10-31 12:11:00,1.0,317.82,40.0,3.0,1.0,1.0,Recent / Promising
12553,France,2010-10-12 13:35:00,2011-12-01 16:38:00,12.0,4104.75,8.0,4.0,4.0,4.0,Champions
12554,Spain,2010-09-17 12:29:00,2010-09-17 12:29:00,1.0,384.5,449.0,1.0,1.0,2.0,Hibernating
12556,Spain,2011-07-11 13:35:00,2011-10-20 13:06:00,2.0,599.56,50.0,3.0,2.0,2.0,Recent / Promising
12557,Spain,2009-12-17 10:39:00,2011-11-23 16:59:00,8.0,18096.14,16.0,4.0,4.0,4.0,Champions
12558,USA,2011-12-02 10:41:00,2011-12-02 10:41:00,1.0,269.96,8.0,4.0,1.0,1.0,Recent / Promising
12559,Germany,2011-01-24 10:12:00,2011-02-02 09:49:00,2.0,525.71,311.0,2.0,2.0,2.0,Hibernating
12560,Germany,2011-07-19 15:55:00,2011-12-04 13:54:00,2.0,1918.01,5.0,4.0,2.0,3.0,Recent / Promising
12561,Germany,2011-02-10 11:39:00,2011-02-10 11:39:00,1.0,238.85,303.0,2.0,1.0,1.0,Hibernating
12562,France,2010-09-30 13:13:00,2011-12-01 17:20:00,9.0,4426.92,8.0,4.0,4.0,4.0,Champions
12563,Italy,2010-10-27 09:52:00,2010-10-27 09:52:00,1.0,221.24,409.0,1.0,1.0,1.0,Hibernating
12564,France,2011-03-23 14:55:00,2011-03-23 14:55:00,1.0,402.9,261.0,2.0,1.0,2.0,Hibernating
12565,Saudi Arabia,2011-02-24 10:34:00,2011-02-24 10:34:00,1.0,145.92,289.0,2.0,1.0,1.0,Hibernating
12566,Germany,2011-09-14 14:30:00,2011-09-14 14:30:00,1.0,297.65,86.0,3.0,1.0,1.0,Recent / Promising
12567,France,2010-02-11 10:30:00,2011-11-17 11:02:00,15.0,10741.48,23.0,4.0,4.0,4.0,Champions
